class,cap-shape,veil-type,veil-color,ring-type,spore-print-color,population,habitat
e,x,p,w,p,n,n,g
e,f,p,w,p,k,y,p
e,x,p,w,p,n,n,g
e,x,p,w,p,n,s,m
e,x,p,w,p,k,v,d
e,x,p,w,p,n,s,m
e,x,p,w,p,n,s,p
e,x,p,w,p,n,n,m
e,x,p,w,p,k,n,g
e,f,p,w,p,n,y,g
e,b,p,w,p,n,n,g
e,f,p,w,p,n,v,d
e,f,p,w,e,n,s,g
e,x,p,w,p,k,n,g
e,x,p,w,p,k,n,g
e,f,p,w,p,k,s,g
e,x,p,w,p,u,v,d
e,x,p,w,p,n,s,g
e,f,p,w,p,n,y,g
e,x,p,w,p,k,y,p
e,x,p,w,p,n,n,g
e,x,p,w,p,n,y,d
e,f,p,w,p,k,y,g
e,x,p,w,p,k,n,g
e,b,p,w,p,n,s,m
e,x,p,w,p,n,s,m
e,x,p,w,p,n,s,g
e,b,p,w,p,k,n,g
e,x,p,w,p,k,n,m
e,x,p,w,p,k,s,m
e,x,p,w,p,k,s,g
e,f,p,w,p,k,y,p
e,x,p,w,e,n,a,g
e,x,p,w,e,k,s,g
e,x,p,w,e,n,s,g
e,x,p,w,p,n,n,m
e,f,p,w,e,k,s,g
p,f,p,w,p,k,s,g
e,x,p,w,e,n,s,g
p,f,p,w,p,n,v,u
p,x,p,w,p,n,v,g
e,b,p,w,p,k,n,g
e,x,p,w,e,k,a,g
e,x,p,w,p,k,n,g
e,f,p,w,e,k,a,g
e,x,p,w,e,k,s,g
e,x,p,w,p,n,n,g
e,x,p,w,p,n,s,m
e,x,p,w,p,n,y,d
e,f,p,w,e,n,a,g
e,x,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,n,a,g
e,x,p,w,p,k,n,g
e,x,p,w,p,u,v,d
e,f,p,w,e,n,s,g
e,x,p,w,e,n,a,g
e,x,p,w,e,k,a,g
p,x,p,w,p,k,s,u
e,x,p,w,p,n,y,u
e,b,p,w,p,n,n,m
e,x,p,w,e,k,a,g
e,f,p,w,e,n,s,g
p,f,p,w,p,n,v,g
e,x,p,w,p,n,s,g
e,x,p,w,p,k,y,u
e,f,p,w,e,k,s,g
e,x,p,w,p,k,n,m
e,x,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,x,p,w,p,n,y,d
e,b,p,w,p,n,n,g
e,x,p,w,e,k,s,g
p,x,p,w,p,n,s,g
e,x,p,w,e,n,s,g
e,f,p,w,p,n,v,d
e,f,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,b,p,w,p,k,s,g
e,f,p,w,e,k,a,g
p,f,p,w,p,n,v,u
p,x,p,w,p,n,s,u
e,b,p,w,p,k,s,g
e,f,p,w,e,n,a,g
e,x,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,b,p,w,p,k,s,m
p,x,p,w,p,k,v,u
e,x,p,w,p,k,v,d
e,f,p,w,p,u,v,d
e,x,p,w,p,n,n,m
e,x,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,x,p,w,p,k,v,d
e,x,p,w,p,n,y,d
e,f,p,w,e,k,s,g
e,f,p,w,e,k,s,g
p,f,p,w,p,k,s,g
e,x,p,w,p,k,y,d
e,x,p,w,e,k,s,g
e,x,p,w,e,k,s,g
e,f,p,w,e,n,s,g
e,x,p,w,p,k,v,d
e,f,p,w,p,k,v,d
e,x,p,w,e,k,s,g
e,f,p,w,p,k,y,d
e,x,p,w,e,k,s,g
e,b,p,w,p,k,n,g
e,x,p,w,p,k,y,d
e,x,p,w,p,n,s,g
e,f,p,w,e,k,a,g
e,f,p,w,p,n,y,d
e,x,p,w,p,k,s,m
e,f,p,w,e,k,s,g
e,x,p,w,e,n,s,g
p,x,p,w,p,k,s,u
e,x,p,w,e,n,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,n,a,g
e,x,p,w,e,k,a,g
e,x,p,w,p,n,n,g
e,x,p,w,p,k,n,m
e,x,p,w,e,k,a,g
e,x,p,w,e,n,s,g
e,f,p,w,p,k,v,u
e,f,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,x,p,w,p,n,s,m
e,f,p,w,p,u,v,d
e,b,p,w,p,n,n,m
p,f,p,w,p,k,v,u
e,x,p,w,p,k,y,d
e,f,p,w,p,n,y,g
e,f,p,w,e,n,s,g
p,x,p,w,p,k,v,g
e,x,p,w,p,n,y,g
e,x,p,w,e,n,a,g
e,x,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,x,p,w,e,n,a,g
e,x,p,w,p,n,s,g
e,x,p,w,p,n,s,m
e,x,p,w,e,k,s,g
e,f,p,w,p,n,s,p
e,f,p,w,e,k,s,g
e,f,p,w,e,k,s,g
e,f,p,w,p,u,v,d
e,f,p,w,p,n,s,g
e,x,p,w,p,n,y,d
p,f,p,w,p,n,s,g
e,x,p,w,p,k,v,d
e,f,p,w,e,n,a,g
e,b,p,w,p,k,n,m
e,b,p,w,p,k,n,g
e,x,p,w,p,n,s,m
p,f,p,w,p,k,v,u
p,f,p,w,p,n,s,g
e,x,p,w,p,n,v,u
e,f,p,w,p,u,v,d
e,x,p,w,p,k,n,m
e,x,p,w,e,k,a,g
e,x,p,w,p,n,y,d
p,x,p,w,p,k,v,g
e,x,p,w,e,n,s,g
e,f,p,w,e,n,s,g
e,x,p,w,e,n,s,g
e,f,p,w,e,k,a,g
e,x,p,w,p,k,s,m
e,f,p,w,p,n,v,d
e,x,p,w,p,k,y,u
p,x,p,w,p,k,s,u
e,x,p,w,p,n,y,p
e,f,p,w,p,k,s,p
e,x,p,w,e,k,a,g
e,x,p,w,p,n,v,d
e,x,p,w,e,n,a,g
e,x,p,w,p,n,s,g
e,x,p,w,e,n,s,g
p,f,p,w,p,n,s,u
e,x,p,w,p,k,v,d
e,x,p,w,e,k,a,g
e,x,p,w,p,k,v,d
e,x,p,w,p,k,y,d
e,x,p,w,e,n,a,g
e,x,p,w,p,n,s,p
e,x,p,w,e,k,s,g
e,b,p,w,p,k,s,g
e,x,p,w,p,n,v,d
e,f,p,w,e,n,s,g
e,x,p,w,p,k,n,g
e,x,p,w,e,n,s,g
e,f,p,w,e,n,a,g
e,x,p,w,p,n,v,d
e,x,p,w,e,n,s,g
e,x,p,w,e,n,s,g
p,f,p,w,p,k,s,u
e,f,p,w,p,u,v,d
e,x,p,w,p,k,s,g
e,f,p,w,e,n,a,g
e,x,p,w,p,k,v,d
e,x,p,w,p,n,s,g
e,x,p,w,e,n,a,g
p,f,p,w,p,n,v,g
e,x,p,w,p,n,s,g
e,x,p,w,p,k,y,d
e,f,p,w,p,k,s,p
e,f,p,w,e,k,a,g
e,f,p,w,p,n,y,u
p,f,p,w,p,n,v,g
e,f,p,w,e,n,s,g
e,x,p,w,p,k,s,p
e,f,p,w,e,k,a,g
p,f,p,w,p,n,v,u
e,b,p,w,p,k,n,m
e,f,p,w,e,k,s,g
e,b,p,w,p,k,n,g
e,f,p,w,e,n,s,g
e,b,p,w,p,n,n,m
e,x,p,w,p,k,n,m
p,f,p,w,p,k,v,g
e,x,p,w,p,k,s,g
e,s,p,w,p,k,y,u
e,x,p,w,p,k,y,g
e,f,p,w,e,n,a,g
e,f,p,w,p,u,v,d
e,x,p,w,e,n,a,g
p,f,p,w,p,k,v,u
e,x,p,w,e,k,a,g
e,x,p,w,e,k,a,g
e,x,p,w,e,k,s,g
p,x,p,w,p,n,s,g
e,x,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,x,p,w,e,n,s,g
p,x,p,w,p,n,s,g
e,f,p,w,e,n,a,g
e,f,p,w,e,k,a,g
p,x,p,w,p,k,v,u
e,f,p,w,e,n,a,g
e,b,p,w,p,n,n,g
e,x,p,w,e,n,a,g
e,f,p,w,e,k,a,g
p,f,p,w,p,k,s,g
e,x,p,w,p,n,s,g
e,f,p,w,e,k,a,g
e,f,p,w,p,k,s,g
e,f,p,w,e,k,s,g
e,f,p,w,e,n,s,g
e,f,p,w,e,n,s,g
e,f,p,w,e,k,s,g
e,x,p,w,e,n,s,g
e,x,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,n,s,g
e,x,p,w,p,k,v,d
e,f,p,w,p,u,v,d
e,x,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,b,p,w,p,n,n,g
e,x,p,w,e,n,a,g
e,x,p,w,e,k,a,g
p,f,p,w,p,n,v,u
e,x,p,w,e,k,a,g
p,x,p,w,p,k,s,g
e,f,p,w,e,n,s,g
e,x,p,w,p,k,n,g
e,x,p,w,e,k,s,g
e,x,p,w,p,n,y,d
e,b,p,w,p,n,s,g
e,f,p,w,e,n,a,g
e,x,p,w,e,n,a,g
e,f,p,w,e,n,a,g
e,x,p,w,p,n,v,d
e,f,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,x,p,w,e,n,a,g
e,x,p,w,e,n,s,g
e,f,p,w,e,k,s,g
e,x,p,w,e,n,a,g
e,x,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,f,p,w,p,k,y,p
p,x,p,w,p,n,v,g
e,f,p,w,e,k,a,g
p,x,p,w,p,k,v,g
e,b,p,w,p,n,s,m
e,x,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,f,p,w,e,n,s,g
e,f,p,w,e,k,s,g
e,b,p,w,p,n,n,g
e,x,p,w,e,k,s,g
e,x,p,w,p,n,v,d
e,x,p,w,p,k,s,p
e,x,p,w,e,k,s,g
e,b,p,w,p,n,n,m
p,x,p,w,p,k,v,g
e,x,p,w,p,k,y,d
e,f,p,w,e,k,s,g
e,b,p,w,p,n,n,m
e,x,p,w,e,k,s,g
e,x,p,w,p,k,v,d
e,f,p,w,e,n,a,g
e,x,p,w,p,k,v,u
e,x,p,w,p,k,v,u
e,x,p,w,p,k,y,u
e,b,p,w,p,k,s,m
e,f,p,w,p,n,v,u
e,x,p,w,e,n,a,g
e,f,p,w,p,k,s,p
e,x,p,w,p,k,y,p
e,x,p,w,p,k,y,g
e,f,p,w,e,n,a,g
e,x,p,w,p,k,n,g
e,x,p,w,p,k,s,g
e,f,p,w,e,n,a,g
e,f,p,w,e,k,a,g
p,f,p,w,p,k,v,u
e,x,p,w,p,n,s,g
e,x,p,w,e,n,s,g
e,x,p,w,e,k,s,g
e,x,p,w,p,n,s,m
e,x,p,w,p,n,v,d
e,f,p,w,p,n,s,p
e,b,p,w,p,k,n,g
p,x,p,w,p,k,s,g
e,x,p,w,e,k,s,g
e,b,p,w,p,n,n,m
e,x,p,w,p,n,n,g
e,b,p,w,p,k,s,m
e,x,p,w,p,n,n,g
e,x,p,w,p,n,n,g
e,b,p,w,p,k,n,g
e,f,p,w,e,k,s,g
p,f,p,w,p,n,s,g
e,f,p,w,e,n,a,g
e,f,p,w,e,k,a,g
p,f,p,w,p,k,s,u
e,f,p,w,e,k,a,g
e,x,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,f,p,w,p,k,y,g
e,x,p,w,e,k,a,g
e,x,p,w,e,k,a,g
p,f,p,w,p,n,v,g
e,x,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,f,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,x,p,w,p,k,s,g
e,x,p,w,e,n,s,g
e,x,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,k,s,g
e,x,p,w,p,n,v,d
e,x,p,w,e,k,a,g
p,x,p,w,p,n,v,g
e,x,p,w,p,k,y,d
e,x,p,w,e,n,s,g
p,f,p,w,p,n,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,n,a,g
e,f,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,f,p,w,e,n,s,g
e,x,p,w,e,n,s,g
e,x,p,w,e,k,s,g
p,f,p,w,p,k,v,u
e,x,p,w,e,n,a,g
p,x,p,w,p,k,s,g
p,f,p,w,p,n,s,u
e,f,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,f,p,w,e,n,a,g
e,x,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,f,p,w,e,n,a,g
e,x,p,w,p,n,y,d
e,x,p,w,p,n,v,d
e,f,p,w,e,n,a,g
p,f,p,w,p,n,v,g
p,f,p,w,p,n,s,g
e,x,p,w,e,n,a,g
p,f,p,w,p,n,s,g
e,f,p,w,e,k,s,g
e,f,p,w,e,n,a,g
p,f,p,w,p,k,v,g
p,f,p,w,p,k,v,g
p,f,p,w,p,k,v,g
p,f,p,w,p,k,s,g
e,x,p,w,e,k,a,g
e,x,p,w,p,n,v,d
e,f,p,w,e,n,a,g
e,f,p,w,e,k,a,g
p,f,p,w,p,k,v,u
e,x,p,w,e,n,s,g
e,x,p,w,p,n,y,d
e,f,p,w,e,k,s,g
e,x,p,w,e,n,s,g
p,f,p,w,p,n,s,g
e,f,p,w,e,n,a,g
e,x,p,w,e,k,s,g
p,f,p,w,p,k,s,u
e,x,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,x,p,w,e,k,s,g
e,f,p,w,e,n,s,g
e,b,p,w,p,k,n,m
e,x,p,w,e,n,a,g
e,x,p,w,e,k,s,g
e,x,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,f,p,w,e,k,a,g
p,x,p,w,p,k,s,u
e,f,p,w,e,k,s,g
e,x,p,w,p,k,y,d
e,f,p,w,e,k,a,g
e,x,p,w,p,k,v,d
e,x,p,w,e,n,a,g
e,x,p,w,e,k,a,g
p,f,p,w,p,n,v,g
p,f,p,w,p,k,v,g
e,x,p,w,e,n,a,g
e,x,p,w,p,n,v,d
e,x,p,w,e,k,s,g
e,x,p,w,p,k,s,p
e,f,p,w,e,n,a,g
e,x,p,w,e,n,a,g
e,x,p,w,e,k,a,g
e,f,p,w,e,n,s,g
e,x,p,w,p,n,y,d
e,f,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,f,p,w,e,n,s,g
e,f,p,w,e,n,s,g
e,f,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,f,p,w,e,n,s,g
e,f,p,w,e,n,a,g
p,f,p,w,p,n,s,g
e,x,p,w,e,n,a,g
e,b,p,w,p,k,n,g
e,f,p,w,e,n,s,g
e,f,p,w,e,n,s,g
e,x,p,w,p,k,y,d
e,b,p,w,p,k,s,m
e,x,p,w,e,k,s,g
e,f,p,w,p,n,y,d
p,x,p,w,p,n,s,g
e,f,p,w,e,k,s,g
p,f,p,w,p,n,s,u
e,x,p,w,e,n,a,g
e,f,p,w,e,k,a,g
e,b,p,w,p,k,n,g
e,f,p,w,e,n,a,g
e,x,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,x,p,w,e,k,s,g
e,f,p,w,e,k,a,g
p,f,p,w,p,k,v,g
e,f,p,w,e,n,a,g
e,f,p,w,e,k,a,g
e,x,p,w,p,k,y,d
e,x,p,w,e,n,a,g
e,x,p,w,p,n,y,d
e,x,p,w,p,n,n,g
e,f,p,w,e,k,s,g
e,x,p,w,e,k,a,g
e,f,p,w,e,n,a,g
p,f,p,w,p,k,s,u
e,f,p,w,p,n,y,d
e,f,p,w,e,n,s,g
e,f,p,w,e,k,a,g
p,f,p,w,p,n,v,g
e,x,p,w,e,k,s,g
e,x,p,w,p,n,y,d
e,x,p,w,p,n,v,d
e,x,p,w,p,n,v,d
e,f,p,w,e,n,s,g
e,f,p,w,e,n,s,g
e,f,p,w,e,n,a,g
e,x,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,x,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,f,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,f,p,w,e,n,a,g
p,f,p,w,p,k,v,u
e,f,p,w,e,k,a,g
e,f,p,w,e,n,s,g
e,x,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,f,p,w,e,n,a,g
e,x,p,w,p,k,v,d
e,f,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,x,p,w,e,k,s,g
e,x,p,w,e,k,s,g
e,b,p,w,p,k,s,g
p,x,p,w,p,k,s,g
p,f,p,w,p,k,v,g
e,f,p,w,e,k,s,g
e,f,p,w,e,k,s,g
p,f,p,w,p,k,s,g
e,f,p,w,e,k,s,g
p,x,p,w,p,n,v,u
e,f,p,w,e,n,a,g
p,f,p,w,p,n,v,u
e,f,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,x,p,w,e,k,a,g
e,f,p,w,e,n,s,g
e,x,p,w,p,n,v,d
e,x,p,w,p,k,v,d
e,x,p,w,e,n,s,g
e,x,p,w,p,k,y,d
e,x,p,w,e,n,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,k,s,g
e,f,p,w,e,k,s,g
e,x,p,w,p,n,y,d
e,x,p,w,e,n,s,g
e,x,p,w,e,k,s,g
e,f,p,w,e,n,s,g
p,f,p,w,p,n,s,g
e,f,p,w,e,k,s,g
e,f,p,w,p,n,y,g
e,x,p,w,p,k,y,d
e,f,p,w,e,n,a,g
e,x,p,w,e,n,a,g
p,f,p,w,p,n,s,u
e,x,p,w,e,k,a,g
e,x,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,f,p,w,e,n,s,g
e,x,p,w,e,k,s,g
e,f,p,w,e,k,s,g
e,f,p,w,e,n,a,g
e,x,p,w,e,n,a,g
e,f,p,w,e,n,a,g
e,f,p,w,e,k,a,g
e,x,p,w,p,n,s,m
e,x,p,w,e,k,a,g
e,x,p,w,e,n,s,g
e,f,p,w,e,k,a,g
p,x,p,w,p,n,s,u
e,x,p,w,e,k,s,g
e,x,p,w,p,n,v,d
e,f,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,f,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,x,p,w,e,k,s,g
e,f,p,w,p,k,s,p
p,f,p,w,p,k,v,u
e,x,p,w,e,n,s,g
e,x,p,w,p,k,v,d
p,f,p,w,p,k,s,g
p,x,p,w,p,k,s,u
p,f,p,w,p,n,s,u
e,x,p,w,p,k,y,d
e,b,p,w,p,k,n,m
p,f,p,w,p,k,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,n,s,g
e,x,p,w,p,k,y,d
e,x,p,w,e,k,a,g
e,f,p,w,e,k,s,g
e,f,p,w,e,n,s,g
p,f,p,w,p,n,s,u
p,f,p,w,p,k,v,g
e,x,p,w,e,k,s,g
e,f,p,w,e,n,s,g
e,x,p,w,p,k,v,d
e,f,p,w,e,n,s,g
e,f,p,w,e,k,a,g
p,f,p,w,p,n,v,u
e,x,p,w,e,n,a,g
p,f,p,w,p,n,v,g
e,x,p,w,e,k,a,g
e,f,p,w,e,k,s,g
e,x,p,w,e,n,a,g
e,x,p,w,p,n,y,d
e,x,p,w,e,n,s,g
p,f,p,w,p,n,s,u
e,x,p,w,p,n,v,d
e,x,p,w,e,k,s,g
e,f,p,w,e,k,s,g
e,x,p,w,p,u,v,d
e,x,p,w,e,n,s,g
e,x,p,w,p,k,v,d
e,x,p,w,p,n,y,d
e,x,p,w,p,u,v,d
e,f,p,w,e,k,a,g
e,x,p,w,e,k,s,g
e,x,p,w,p,n,y,d
e,f,p,w,e,k,a,g
p,f,p,w,p,k,v,u
e,f,p,w,e,n,s,g
e,x,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,n,a,g
p,f,p,w,p,k,s,g
e,x,p,w,e,n,s,g
e,f,p,w,e,n,a,g
e,x,p,w,e,k,s,g
e,x,p,w,e,k,s,g
e,x,p,w,e,k,a,g
e,f,p,w,p,k,y,g
p,x,p,w,p,k,v,u
e,x,p,w,e,k,a,g
e,f,p,w,e,k,s,g
e,x,p,w,e,n,s,g
p,f,p,w,p,n,s,g
e,f,p,w,e,k,s,g
p,f,p,w,p,n,s,u
e,f,p,w,e,k,s,g
e,x,p,w,e,k,s,g
e,x,p,w,e,k,a,g
e,f,p,w,e,k,s,g
e,f,p,w,e,n,s,g
e,x,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,x,p,w,e,k,s,g
e,f,p,w,e,n,a,g
e,b,p,w,p,k,n,m
e,f,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,f,p,w,e,n,a,g
e,x,p,w,p,n,y,d
p,f,p,w,p,k,s,u
e,x,p,w,p,n,y,d
e,x,p,w,e,n,a,g
e,x,p,w,p,k,y,d
e,x,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,x,p,w,p,k,s,m
e,x,p,w,p,u,v,d
e,f,p,w,e,n,a,g
e,f,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,b,p,w,p,k,s,g
e,x,p,w,e,k,s,g
e,x,p,w,p,n,s,g
e,f,p,w,e,k,s,g
e,x,p,w,e,n,a,g
e,x,p,w,e,n,s,g
e,x,p,w,e,n,a,g
e,x,p,w,e,n,s,g
e,x,p,w,p,n,y,d
e,f,p,w,e,k,s,g
e,x,p,w,p,k,n,m
e,x,p,w,e,k,a,g
p,f,p,w,p,k,s,u
e,f,p,w,e,n,s,g
p,f,p,w,p,n,s,u
e,f,p,w,e,k,s,g
e,f,p,w,e,n,s,g
p,x,p,w,p,n,s,g
e,x,p,w,e,k,a,g
p,x,p,w,p,n,s,u
e,x,p,w,e,n,s,g
e,f,p,w,e,k,s,g
p,f,p,w,p,n,v,g
e,x,p,w,e,k,a,g
e,x,p,w,e,k,a,g
e,x,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,x,p,w,p,k,y,d
p,f,p,w,p,k,s,u
e,f,p,w,e,k,s,g
e,x,p,w,p,k,y,g
e,x,p,w,e,n,a,g
e,f,p,w,e,k,a,g
e,b,p,w,p,k,n,m
e,f,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,f,p,w,e,n,a,g
p,f,p,w,p,n,s,u
e,x,p,w,e,n,a,g
e,b,p,w,p,k,n,g
e,f,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,x,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,x,p,w,e,k,a,g
e,x,p,w,p,n,v,d
e,b,p,w,p,n,n,m
e,x,p,w,p,n,v,d
p,f,p,w,p,k,s,g
e,x,p,w,e,n,a,g
p,f,p,w,p,k,v,u
e,f,p,w,e,n,a,g
e,f,p,w,e,k,a,g
e,x,p,w,e,k,a,g
e,x,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,x,p,w,p,k,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,k,s,g
p,x,p,w,p,k,v,g
e,f,p,w,e,k,a,g
p,f,p,w,p,k,s,g
e,f,p,w,e,k,a,g
e,x,p,w,p,k,v,d
e,x,p,w,e,k,s,g
p,f,p,w,p,n,v,u
e,f,p,w,e,k,s,g
p,x,p,w,p,n,v,u
e,x,p,w,p,n,v,d
e,x,p,w,e,n,s,g
e,x,p,w,p,n,s,p
e,f,p,w,e,k,s,g
e,f,p,w,e,n,a,g
e,x,p,w,e,n,s,g
e,f,p,w,e,k,s,g
e,f,p,w,e,n,a,g
e,x,p,w,e,k,s,g
e,f,p,w,e,n,a,g
e,x,p,w,p,n,v,d
e,x,p,w,e,k,a,g
e,f,p,w,e,k,s,g
e,x,p,w,p,n,s,g
e,x,p,w,p,k,y,d
e,f,p,w,e,k,a,g
e,f,p,w,e,n,s,g
e,f,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,f,p,w,e,k,a,g
e,x,p,w,e,n,s,g
e,x,p,w,p,n,y,d
e,x,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,f,p,w,e,n,a,g
e,x,p,w,p,k,y,u
p,f,p,w,p,k,s,u
p,f,p,w,p,n,v,g
e,x,p,w,p,k,v,d
e,x,p,w,e,n,a,g
e,f,p,w,e,n,a,g
e,x,p,w,e,n,s,g
e,x,p,w,e,n,s,g
e,x,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,f,p,w,e,n,s,g
e,f,p,w,e,k,a,g
e,x,p,w,p,k,v,d
p,f,p,w,p,n,v,u
e,x,p,w,e,n,s,g
e,x,p,w,p,n,v,d
p,f,p,w,p,n,s,u
p,f,p,w,p,k,v,g
p,f,p,w,p,k,s,u
e,f,p,w,e,n,a,g
e,f,p,w,e,n,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,k,a,g
e,f,p,w,e,k,a,g
p,f,p,w,p,n,v,g
p,f,p,w,p,k,v,g
e,f,p,w,e,n,a,g
e,x,p,w,e,k,a,g
e,x,p,w,e,n,s,g
e,x,p,w,p,k,v,d
e,x,p,w,p,n,v,d
e,f,p,w,e,k,a,g
e,f,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,x,p,w,p,n,n,m
e,f,p,w,e,n,a,g
e,x,p,w,e,n,s,g
e,x,p,w,e,n,s,g
e,x,p,w,e,n,a,g
e,x,p,w,e,n,s,g
e,x,p,w,e,k,s,g
e,x,p,w,e,n,s,g
e,x,p,w,e,k,s,g
e,f,p,w,e,n,s,g
e,x,p,w,e,k,a,g
e,f,p,w,e,n,s,g
e,f,p,w,e,k,s,g
e,x,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,x,p,w,e,k,a,g
e,x,p,w,p,k,n,g
e,x,p,w,p,k,n,g
e,x,p,w,e,k,a,g
p,x,p,w,p,k,s,g
e,x,p,w,e,n,s,g
p,x,p,w,p,k,s,u
e,x,p,w,p,n,v,d
p,f,p,w,p,k,v,u
e,x,p,w,p,n,s,g
e,x,p,w,p,n,n,m
e,f,p,w,p,n,y,p
e,x,p,w,e,n,s,g
e,f,p,w,e,k,s,g
e,x,p,w,e,k,a,g
e,x,p,w,e,k,a,g
e,f,p,w,e,n,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,k,s,g
e,b,p,w,p,n,n,g
e,x,p,w,e,k,s,g
e,x,p,w,p,k,s,m
p,f,p,w,p,k,v,g
e,f,p,w,e,k,s,g
e,f,p,w,e,k,s,g
e,f,p,w,e,n,s,g
e,f,p,w,e,n,s,g
e,x,p,w,p,n,y,d
e,x,p,w,p,k,y,d
e,x,p,w,p,n,y,p
e,x,p,w,p,k,y,d
e,f,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,f,p,w,e,n,a,g
e,x,p,w,e,n,a,g
e,f,p,w,e,k,s,g
e,f,p,w,e,n,a,g
e,x,p,w,e,n,a,g
e,x,p,w,e,n,a,g
e,x,p,w,p,k,y,d
e,f,p,w,e,n,s,g
e,f,p,w,e,k,s,g
p,f,p,w,p,k,s,g
e,x,p,w,p,k,y,d
e,x,p,w,e,k,s,g
e,f,p,w,e,k,s,g
p,f,p,w,p,n,v,u
e,f,p,w,e,k,s,g
e,x,p,w,p,k,v,d
e,x,p,w,e,k,a,g
e,x,p,w,e,k,s,g
e,x,p,w,p,n,v,d
e,x,p,w,e,n,a,g
e,f,p,w,e,n,a,g
e,x,p,w,p,k,y,d
e,x,p,w,p,k,n,g
e,x,p,w,p,n,n,m
e,f,p,w,e,n,s,g
e,f,p,w,e,k,a,g
e,f,p,w,e,k,s,g
e,f,p,w,e,k,a,g
e,x,p,w,e,n,a,g
e,x,p,w,e,n,s,g
e,b,p,w,p,n,n,m
p,f,p,w,p,k,v,g
e,x,p,w,e,k,a,g
e,f,p,w,e,k,s,g
e,x,p,w,p,k,s,g
e,x,p,w,e,n,a,g
e,f,p,w,e,n,a,g
p,x,p,w,p,k,v,u
e,f,p,w,e,k,a,g
e,x,p,w,e,n,s,g
p,f,p,w,p,k,v,g
e,x,p,w,e,n,a,g
e,x,p,w,e,k,a,g
e,x,p,w,p,k,v,d
e,f,p,w,e,k,s,g
p,f,p,w,p,n,v,u
e,x,p,w,e,k,a,g
