class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80
e,x,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,5,1,2,2,4,2,3,2,5,5,2,4,5,1,4,1,2,4,1,1,4,3,2,1,2,1,1,5,5,1,5,2,3,5,1,5,5,3,5,1,2,1,5,4,4,5,4,5,5,4,5,1,4,4,3,1,5,3,2,5,2,3,4,4,4,1,1,3,2,2,1,4,4,5,5,2,5,2,3,2
p,k,s,n,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,3,2,1,4,1,4,1,1,5,5,3,1,4,3,5,2,5,5,5,5,5,2,1,5,5,5,3,3,3,1,2,3,5,5,5,2,4,5,4,2,5,2,4,2,1,5,2,4,3,3,4,3,4,3,5,2,1,2,2,3,2,2,3,4,2,2,3,1,1,5,3,3,4,1,3,2,2,4,2,3
e,k,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,n,o,p,y,v,l,2,1,5,3,2,5,5,4,4,1,3,4,1,2,5,4,5,2,3,1,5,1,2,1,2,1,5,5,4,2,5,2,5,4,2,1,3,2,4,4,5,3,3,4,1,5,2,1,5,4,5,2,5,3,3,1,3,3,5,1,4,4,1,1,3,1,2,3,3,2,2,2,3,1,3,3,3,2,3,4
p,f,y,n,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,4,5,4,5,4,3,3,2,1,1,5,1,4,3,5,1,2,3,1,1,1,1,5,3,4,3,4,1,3,1,1,1,2,3,5,1,4,5,3,3,4,5,5,4,2,1,3,1,4,5,5,3,1,4,1,5,3,5,1,3,5,3,1,3,1,1,4,3,3,5,2,2,1,4,3,4,2,3,2,1
e,f,s,n,t,n,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w,2,4,3,3,1,1,5,1,1,3,1,1,2,5,2,4,1,2,4,5,5,1,3,3,5,5,5,3,2,3,2,3,2,1,5,4,2,1,1,3,2,5,4,4,4,3,1,3,1,4,3,5,4,4,4,5,4,4,5,5,2,3,2,1,2,4,1,5,5,2,3,5,4,1,5,2,1,2,3,4
e,f,y,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,1,4,1,2,2,1,4,2,5,2,3,1,4,3,3,3,4,1,3,3,2,5,3,3,4,5,1,3,2,5,1,3,5,5,5,3,2,5,3,2,3,1,4,5,5,4,3,2,1,2,1,1,4,5,1,2,2,2,1,2,5,4,3,1,4,3,1,2,2,5,5,3,2,1,4,3,2,2,3,2
e,f,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,4,1,1,4,4,5,4,5,2,1,1,5,4,4,3,1,4,4,3,2,2,3,2,3,4,3,5,3,3,5,2,3,1,5,3,3,2,3,3,2,5,5,2,1,3,5,4,2,1,3,1,4,2,1,1,1,3,3,4,1,2,4,2,5,3,1,1,5,3,1,1,3,4,1,2,5,1,1,2,1
p,x,s,g,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u,1,4,1,5,5,3,1,5,3,1,2,1,2,3,4,1,4,2,5,3,1,4,2,4,4,1,1,4,1,2,2,5,2,4,5,5,2,1,1,1,3,1,5,1,2,3,4,1,1,5,2,1,2,4,5,1,5,3,5,3,5,5,1,5,4,4,2,3,4,2,2,3,5,1,5,3,1,2,1,1
e,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p,1,1,2,4,3,3,1,4,5,2,4,3,4,5,2,3,2,1,5,1,4,5,4,2,4,5,5,4,2,3,3,2,2,5,1,5,5,1,2,2,4,2,5,1,4,1,3,5,2,2,3,5,3,2,4,4,3,4,5,3,3,5,4,4,4,5,2,3,5,3,4,4,3,4,3,1,2,1,3,3
p,f,s,w,t,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,g,2,2,5,2,2,2,1,3,5,2,5,4,4,4,2,4,1,2,3,1,3,4,3,4,4,5,2,4,4,3,1,2,4,1,5,4,1,2,3,1,3,3,5,1,4,2,3,5,2,2,1,2,3,2,4,3,1,4,2,2,3,5,5,3,1,4,1,4,5,1,5,2,2,1,1,3,3,1,2,1
p,k,y,e,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,2,4,3,5,4,5,5,5,3,3,1,2,5,2,5,3,5,5,4,3,2,2,2,5,1,5,4,4,1,5,2,2,3,2,5,4,4,5,1,5,3,2,1,4,3,1,2,4,3,2,5,5,5,2,2,5,2,5,3,2,3,4,3,3,4,1,3,2,5,4,1,2,2,3,2,2,3,1,1,3
p,f,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,1,3,4,1,5,1,3,1,4,3,3,3,2,3,2,3,1,3,1,2,1,1,2,5,3,5,2,3,5,1,5,3,4,3,4,2,3,2,3,2,2,2,5,4,5,1,5,4,1,1,3,4,3,1,1,4,2,1,3,3,5,4,2,5,1,1,1,2,3,3,2,4,1,3,2,3,3,1,4,4
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,1,1,1,4,5,4,1,2,1,4,1,3,1,4,4,2,2,2,5,5,2,3,5,4,2,3,5,3,1,3,3,2,5,4,3,1,2,3,1,3,3,3,5,1,5,1,2,5,5,3,4,4,5,1,2,2,2,4,2,1,2,3,5,3,5,4,5,5,4,4,2,5,1,4,5,1,4,1,4,2
e,f,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,5,2,5,1,2,3,2,2,1,5,2,5,5,3,1,1,4,4,3,1,1,4,3,2,3,4,3,5,5,1,2,2,2,1,5,5,1,1,4,4,5,5,3,2,5,3,2,1,4,3,3,2,3,3,2,1,4,3,5,4,5,4,4,1,4,4,3,4,4,4,5,2,1,3,3,5,3,4,2,3
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,4,5,1,5,3,3,5,3,2,2,5,4,4,2,5,3,2,2,4,4,2,1,2,5,4,5,1,3,2,2,3,1,4,2,4,4,1,1,1,3,1,2,5,3,3,4,5,2,1,3,3,3,2,5,2,2,2,5,4,2,3,1,5,1,2,4,4,3,2,5,4,4,2,4,3,3,4,3,3,4
e,x,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,n,o,p,o,c,l,1,1,3,1,4,4,1,3,5,3,3,2,5,2,2,1,1,2,5,4,3,5,1,2,1,5,5,5,2,5,1,2,4,2,4,5,3,5,2,2,1,2,5,3,1,3,5,2,3,5,2,2,2,3,5,4,1,1,5,1,5,3,5,4,4,4,2,2,1,2,1,4,4,1,2,4,5,2,3,3
e,f,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,5,1,3,4,4,3,2,1,2,1,4,3,4,4,5,1,2,5,3,3,4,5,5,4,3,5,4,1,2,3,4,2,4,1,5,4,2,1,2,1,3,1,3,4,5,2,3,2,1,3,1,3,5,4,1,3,1,1,3,5,3,5,2,4,5,5,2,3,3,2,5,4,5,4,5,2,5,4,4,4
e,x,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d,2,3,5,4,4,3,2,1,3,1,4,3,5,1,5,4,3,5,4,4,5,3,4,2,2,1,3,5,3,4,3,2,2,4,3,5,5,3,2,2,4,3,1,5,2,4,5,1,2,3,5,4,4,2,1,5,4,2,2,5,5,5,3,1,1,1,3,3,3,4,5,5,2,2,3,1,5,2,3,2
p,k,s,e,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p,1,4,5,1,3,4,1,5,5,1,4,4,3,5,3,1,2,1,3,5,5,2,5,1,2,2,5,3,1,4,3,5,4,2,1,4,2,5,5,1,4,4,3,4,3,4,1,1,3,5,2,5,2,3,3,4,1,4,3,4,5,3,5,3,2,2,1,3,3,4,4,4,2,4,4,4,3,3,2,1
e,x,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,5,4,2,5,3,4,1,2,3,4,1,4,3,1,5,2,3,4,1,3,2,4,2,4,5,1,2,5,2,4,5,1,3,3,5,3,3,2,5,5,1,3,2,3,1,1,4,4,3,5,3,1,4,3,1,4,3,2,5,5,3,5,2,5,3,4,4,4,2,2,2,2,1,2,2,3,1,3,4,2
e,b,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,2,1,1,5,3,4,5,1,3,2,1,1,1,4,4,1,4,1,2,1,5,5,5,3,5,5,4,2,4,5,5,4,1,1,1,2,3,1,3,4,1,3,3,4,3,4,5,5,2,5,1,3,1,3,4,1,1,3,1,2,3,4,1,3,1,3,5,2,3,2,3,4,5,5,3,3,2,1,3,3
p,f,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d,5,1,2,4,5,4,4,2,5,5,5,1,4,5,5,1,4,5,2,4,1,3,1,2,2,2,4,2,1,2,5,1,3,4,2,4,3,5,1,1,5,2,5,3,1,1,3,5,3,1,4,3,5,2,4,2,2,3,2,1,1,4,2,2,2,1,1,2,4,2,1,2,1,1,3,4,1,4,4,2
p,f,f,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,4,4,4,1,5,3,1,5,5,3,3,3,1,1,4,2,1,1,1,1,2,5,5,1,5,2,2,2,3,1,5,2,3,4,1,3,4,2,1,2,5,2,1,5,3,4,4,4,3,1,5,2,5,2,4,1,2,1,1,1,5,3,1,2,3,5,1,4,1,3,5,2,5,3,1,2,3,2,3,4
p,f,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,g,2,2,3,5,5,5,3,4,4,3,1,2,4,1,2,1,5,5,4,4,4,2,3,5,1,3,3,3,2,4,2,3,4,4,2,4,4,2,5,3,2,5,4,5,1,5,5,4,3,1,1,1,3,3,4,3,1,5,4,1,4,2,1,2,4,4,4,5,1,1,1,5,2,5,1,2,1,1,3,1
p,f,s,g,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,g,4,5,2,3,1,2,3,2,5,3,4,3,5,3,3,3,1,1,5,4,5,4,2,3,3,1,5,3,1,4,2,3,4,1,2,4,5,3,1,3,1,3,1,1,1,3,3,5,3,1,3,2,3,2,4,2,3,3,2,1,3,5,3,3,5,3,2,5,4,3,1,4,2,3,4,3,3,4,1,1
p,k,s,e,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,2,5,3,5,4,4,1,4,2,5,5,4,2,5,4,5,3,5,1,2,5,2,5,1,1,2,3,3,3,2,5,3,4,5,2,5,4,2,2,2,2,3,5,1,2,1,2,2,5,1,5,2,1,5,2,1,2,3,2,2,5,4,5,5,5,3,5,4,3,2,1,1,1,3,3,2,4,4,4,4
e,f,y,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,4,3,4,4,3,2,4,5,3,4,5,1,4,2,4,1,1,3,2,3,2,1,3,2,3,4,3,1,2,4,4,3,5,5,2,5,4,4,5,3,5,1,1,2,2,5,5,4,4,2,4,3,2,4,2,1,3,4,4,1,3,2,1,2,2,4,3,1,2,2,3,5,1,1,1,1,1,3,3,4
e,f,s,e,t,n,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w,2,1,3,2,4,1,3,5,2,5,1,2,5,3,5,2,4,1,5,5,1,3,5,4,3,3,5,5,2,5,1,3,1,2,4,2,1,5,5,1,5,3,1,4,5,3,3,1,3,4,1,3,3,5,5,3,4,3,3,4,5,4,1,3,2,5,1,5,1,1,1,1,1,4,4,4,5,1,3,2
p,x,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g,3,1,1,5,4,4,4,2,4,2,3,5,4,3,1,3,4,5,3,2,1,1,4,2,3,4,4,5,1,5,2,5,3,5,3,5,1,5,3,3,3,2,5,1,3,5,1,3,4,5,4,4,1,3,3,5,2,2,5,2,1,2,5,4,2,4,4,4,3,1,5,4,5,5,3,2,1,4,2,2
p,f,s,g,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,v,u,2,3,4,4,4,1,2,5,3,3,5,2,4,4,5,4,2,2,3,1,3,5,3,3,2,3,1,1,1,4,1,3,3,4,4,2,3,5,2,1,1,2,5,4,2,2,4,5,3,2,2,5,4,4,4,4,3,3,4,2,1,4,1,1,4,2,4,3,1,3,4,2,5,3,1,3,5,2,4,4
p,x,s,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l,4,3,3,4,5,1,5,3,3,1,2,1,4,4,3,1,1,3,4,2,3,3,1,4,1,5,2,3,4,1,3,2,1,2,4,4,2,4,2,1,5,3,4,2,5,3,5,4,1,3,2,4,2,1,5,1,5,5,5,2,4,4,3,5,1,5,4,3,1,1,1,1,2,1,5,1,2,4,2,1
p,f,s,n,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p,3,2,5,5,2,5,1,2,2,3,1,5,1,2,3,5,4,2,2,1,4,2,5,4,2,2,2,3,5,5,2,2,5,1,3,2,3,5,5,4,2,5,5,1,4,2,5,4,2,4,2,3,3,3,5,4,3,3,5,3,5,2,1,1,1,2,1,1,1,1,4,5,5,2,3,5,5,3,1,2
p,x,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d,5,3,5,5,3,3,3,2,5,2,4,4,4,3,2,2,4,1,2,5,5,3,2,4,5,5,3,4,4,2,1,2,4,4,1,1,3,2,2,5,3,5,1,3,1,5,5,1,3,3,3,1,5,3,5,3,2,5,5,2,3,5,2,2,2,5,1,2,1,4,5,2,3,1,5,4,3,4,4,3
p,x,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,3,2,1,2,2,3,1,1,3,1,4,5,1,5,3,4,2,4,2,3,5,4,3,1,3,4,1,2,1,3,5,3,4,3,3,4,3,3,3,3,2,3,2,4,4,3,3,2,4,3,5,3,3,1,1,2,1,2,1,5,1,3,5,1,5,3,3,3,5,3,5,4,5,1,5,3,4,1,4,1
p,x,y,n,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l,3,3,5,2,4,5,5,4,2,1,3,5,1,1,5,4,5,4,1,2,3,3,4,5,1,2,5,3,4,2,3,5,1,4,5,5,4,5,4,3,3,5,5,3,4,2,3,5,4,2,2,4,1,5,4,4,1,2,4,5,4,1,5,1,2,3,5,1,3,3,3,1,2,4,2,3,5,2,3,4
p,x,y,n,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,2,4,5,2,1,5,5,5,2,5,4,4,4,5,2,2,5,4,3,1,5,2,4,3,1,2,2,1,3,5,4,5,1,4,4,1,5,1,4,5,2,1,1,2,5,5,4,3,5,1,2,4,5,4,1,5,5,2,2,3,2,5,5,3,5,4,3,5,4,2,4,4,4,4,5,1,3,2,3,1
e,x,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,4,2,4,5,1,3,3,2,1,5,1,1,4,5,1,1,3,2,1,5,3,2,2,5,4,4,3,1,5,5,4,1,3,5,3,4,2,3,2,3,3,3,2,4,3,2,3,4,2,3,4,1,2,1,2,1,4,2,5,4,4,1,2,2,5,2,3,3,1,4,3,2,5,3,2,2,5,4,4,3
e,f,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,5,1,5,2,4,2,2,5,2,1,5,1,1,5,4,2,4,5,4,5,5,2,2,2,2,2,5,5,4,5,4,2,1,4,5,4,5,2,2,4,2,5,1,5,2,4,5,5,2,3,1,1,3,1,4,3,4,4,5,5,5,2,2,1,4,4,4,2,3,5,5,1,4,4,4,1,5,2,3,2
e,x,f,g,f,n,f,w,b,p,e,?,k,s,w,w,p,w,t,p,w,n,g,5,4,2,3,1,5,3,1,1,5,1,4,5,1,2,1,1,3,5,1,4,2,4,5,5,5,3,1,3,5,4,4,2,2,1,4,4,3,4,2,5,3,1,2,5,1,5,2,1,1,2,2,2,4,1,2,5,3,5,4,5,2,2,1,5,4,5,1,3,4,5,4,2,2,1,1,3,3,4,4
e,x,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d,2,2,5,4,2,4,2,4,2,4,2,3,1,4,3,3,3,2,4,4,1,2,4,1,5,2,1,5,1,1,2,3,5,4,5,4,2,1,1,2,1,2,3,2,1,3,3,1,3,5,2,5,5,2,5,3,4,1,5,3,3,2,4,3,3,4,4,1,3,2,2,2,2,2,5,1,4,1,1,3
p,f,s,e,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,4,4,1,5,5,2,1,2,2,3,4,3,1,3,2,5,5,1,4,4,2,3,3,4,5,3,1,3,5,4,5,3,4,4,4,3,1,3,4,4,4,3,1,2,2,4,2,1,5,2,2,3,2,1,4,1,4,2,4,2,4,1,5,1,3,3,2,3,2,1,2,4,4,1,3,3,3,2,3,4
e,x,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,3,5,3,1,2,3,1,3,3,4,5,4,4,5,1,5,3,4,2,2,5,2,5,3,2,1,3,4,2,4,4,5,4,2,5,4,5,5,5,1,3,1,1,2,4,5,5,4,3,5,5,3,3,3,4,5,3,4,5,3,5,2,5,5,5,3,5,2,4,2,5,2,3,5,4,5,3,3,4,2
e,x,y,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,5,3,1,1,4,4,1,2,4,2,4,4,5,1,3,5,3,4,4,5,1,4,3,3,5,4,5,1,1,1,1,1,4,3,5,1,3,4,5,1,5,3,3,1,2,5,5,5,5,2,2,1,2,2,1,4,2,1,1,2,4,4,4,4,5,4,4,1,2,3,2,3,3,3,2,3,4,4,2,3
p,x,f,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,1,2,4,3,2,3,5,5,2,1,5,5,4,1,5,3,2,1,5,3,1,1,2,5,2,1,3,3,3,2,3,1,4,5,3,2,4,5,1,4,1,5,2,1,5,2,1,2,1,4,5,2,3,3,2,3,2,1,5,3,1,2,4,4,1,1,2,5,3,5,3,4,2,5,3,1,5,1,1,4
e,f,s,n,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,y,p,3,2,3,2,2,5,2,2,3,2,5,3,1,3,4,4,3,3,2,4,1,5,5,5,4,1,5,4,3,3,1,4,5,4,3,4,2,4,4,3,1,4,2,1,5,4,2,4,1,4,1,2,3,2,1,5,2,3,2,2,1,2,1,3,5,3,3,5,3,5,4,4,2,5,1,4,4,3,2,2
p,f,f,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d,4,5,1,5,1,5,2,5,1,3,1,5,5,4,5,3,3,4,3,4,1,2,1,5,2,2,1,5,5,4,5,4,2,1,5,5,2,5,1,4,5,4,2,4,3,5,5,3,5,3,3,3,1,5,2,3,1,2,4,4,1,4,3,3,2,1,1,1,2,3,3,3,3,4,1,4,1,1,4,3
p,x,s,w,t,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,g,3,1,2,5,3,3,2,2,3,1,3,2,1,1,4,4,5,4,3,4,3,4,3,5,3,3,5,1,2,1,2,2,4,3,4,1,1,5,2,4,4,2,1,3,3,1,5,2,2,3,2,4,4,2,3,3,2,5,3,5,1,5,1,2,2,4,1,2,5,1,3,2,4,3,1,3,3,4,2,3
p,x,y,n,f,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,2,1,1,2,3,4,2,5,4,2,4,4,4,3,1,1,4,5,1,5,5,5,1,4,4,2,4,4,5,2,1,5,2,2,5,2,4,4,3,3,4,5,2,5,5,4,5,1,4,5,5,1,1,5,2,2,4,5,3,3,5,1,1,3,1,4,5,3,5,3,4,1,2,4,2,2,1,1,3,1
e,k,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,o,o,p,n,v,l,1,5,1,1,3,2,2,2,3,2,2,1,5,1,2,2,1,5,2,4,4,2,1,4,1,5,5,3,5,3,3,2,5,2,4,2,5,1,2,4,2,3,1,5,3,4,2,1,5,1,1,4,5,2,4,4,4,3,3,4,3,3,2,5,5,3,5,1,1,2,5,3,2,1,5,4,5,1,1,4
e,f,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,1,3,3,1,2,1,3,4,5,3,5,1,2,1,4,1,5,1,1,4,1,3,5,3,3,3,3,5,4,3,4,1,5,2,1,4,1,4,1,2,4,3,3,4,3,5,1,5,1,1,5,5,2,1,2,2,3,1,5,3,2,3,1,1,5,1,1,2,5,2,2,1,1,1,4,1,4,4,1,4
p,x,s,n,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,1,1,3,3,2,4,1,2,2,5,4,3,5,4,3,1,2,3,3,3,1,4,3,3,1,5,5,2,4,5,5,5,2,1,2,4,2,4,5,5,5,2,1,4,5,3,2,5,1,4,3,1,4,5,2,1,1,5,3,2,2,3,5,2,4,5,2,5,1,1,3,5,2,5,4,4,1,4,1,1
e,f,f,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d,4,1,3,1,5,5,5,2,1,5,4,1,5,5,5,4,4,1,5,3,4,3,3,1,1,3,1,2,4,3,2,2,4,2,3,2,4,2,1,2,2,1,3,4,3,3,3,3,5,5,1,3,5,3,5,4,5,4,3,5,3,2,4,1,3,3,3,4,2,2,1,5,3,5,4,4,5,4,4,4
e,b,f,w,f,n,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,n,g,3,2,5,2,3,1,1,5,3,3,1,4,5,2,3,4,4,1,4,1,5,4,3,5,4,1,1,4,2,4,5,4,1,1,1,5,1,5,5,5,1,1,3,3,5,4,4,5,1,5,2,4,5,3,1,1,5,4,4,1,2,2,4,1,3,2,3,4,1,5,3,2,3,5,5,5,1,4,1,4
p,x,s,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,4,1,1,4,5,2,3,4,4,3,3,1,4,2,5,2,3,5,5,4,4,3,5,5,5,2,3,5,5,5,4,3,3,2,3,1,4,4,3,5,3,4,4,3,2,3,3,5,3,2,1,2,2,1,4,2,5,2,5,5,5,2,4,4,5,4,5,3,3,5,2,3,4,5,5,1,5,1,1,3
p,k,s,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,5,2,1,4,4,5,2,3,2,5,3,5,4,2,1,2,5,2,3,5,2,2,2,2,5,3,3,5,1,2,3,2,2,1,1,2,1,4,3,2,2,2,2,4,2,2,2,4,2,3,3,4,4,4,3,1,1,3,5,1,2,4,2,5,3,3,4,2,5,1,4,4,2,1,3,4,1,2,4,2
e,x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,2,3,5,5,4,3,1,3,2,2,5,2,1,4,1,3,3,1,5,5,1,2,4,1,2,4,2,5,5,1,3,2,2,5,5,1,1,5,4,2,2,4,4,1,1,1,5,2,5,3,2,4,2,1,3,5,4,2,5,1,2,5,1,4,1,4,5,3,3,3,2,2,2,4,1,2,4,4,3,2
p,f,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d,2,3,2,4,3,5,5,1,1,4,2,5,4,1,3,1,3,2,2,1,2,5,5,5,5,1,1,4,2,1,2,2,2,5,3,1,2,5,3,3,5,1,1,3,2,2,4,4,4,1,1,2,4,1,4,2,1,4,1,5,5,4,3,1,3,4,5,3,2,5,3,4,4,5,5,5,1,3,2,2
p,x,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d,1,5,1,1,4,2,2,4,1,5,5,3,4,4,3,1,4,3,3,1,2,3,5,1,4,3,3,5,2,1,4,3,2,3,3,3,3,1,3,4,2,2,1,5,2,4,3,5,2,5,5,1,3,1,3,3,4,4,2,1,3,1,5,2,2,4,4,2,1,1,3,5,1,5,2,4,1,3,3,1
e,x,y,u,f,n,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,v,d,2,1,4,2,2,2,5,1,4,2,1,5,4,1,1,2,5,2,3,4,2,2,5,1,3,5,5,2,4,3,5,4,4,4,5,3,5,3,1,4,3,1,5,5,1,2,4,3,3,3,4,2,4,3,2,1,1,2,2,5,5,3,5,1,2,5,1,3,2,2,3,5,4,4,2,1,5,1,1,4
e,x,f,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d,1,3,3,4,2,5,5,4,4,5,2,2,2,3,5,5,3,5,4,1,2,2,1,4,5,1,5,1,2,1,1,4,2,5,5,2,4,4,5,3,2,1,2,3,4,2,2,3,3,2,5,2,1,5,1,3,3,3,2,2,3,2,2,5,3,1,5,5,4,4,5,1,2,5,5,3,3,1,3,4
e,x,y,p,t,n,f,c,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w,1,5,3,3,2,2,3,2,5,3,3,1,5,3,3,1,1,1,1,3,4,2,5,1,5,1,4,4,1,2,1,5,2,5,4,2,2,5,1,4,1,3,2,2,2,3,5,2,1,4,2,2,3,5,1,2,3,1,1,4,2,5,2,5,3,1,4,2,4,4,1,3,5,5,3,1,1,3,3,4
p,x,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p,4,1,3,3,1,5,5,1,2,4,5,3,2,2,5,1,5,1,1,3,5,2,4,5,5,3,3,1,2,5,3,2,1,4,4,2,4,4,2,2,3,5,4,5,3,2,5,2,2,5,1,3,3,4,1,1,1,4,5,4,1,2,3,4,4,4,2,3,2,1,4,3,3,2,1,1,1,4,3,3
e,k,f,w,f,n,f,w,b,w,e,?,k,s,w,w,p,w,t,p,w,n,g,5,5,1,3,4,1,2,1,2,2,2,1,3,3,5,3,5,3,1,1,3,5,3,1,5,4,5,5,2,1,1,3,5,4,4,2,3,5,2,1,1,5,2,5,4,4,2,1,2,5,3,4,4,4,3,3,4,3,1,4,4,2,1,5,2,5,3,2,2,4,4,5,5,3,1,1,4,1,4,4
p,x,s,g,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,s,g,5,2,5,3,1,1,5,5,5,2,1,3,1,5,3,3,4,3,3,2,3,3,3,1,4,4,5,3,3,4,5,5,2,2,4,4,1,2,5,1,4,5,3,5,2,5,3,5,3,1,1,4,1,2,4,1,2,3,2,5,1,2,5,3,5,4,1,5,4,5,2,2,3,3,2,2,3,3,1,2
p,f,f,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p,3,2,3,2,1,2,2,1,3,1,3,1,3,1,1,3,2,4,5,5,5,4,3,3,3,2,2,4,2,5,5,2,3,3,1,2,3,1,3,1,5,4,3,1,5,2,5,2,5,4,2,5,4,2,4,1,3,3,4,5,4,3,2,1,1,1,5,4,5,4,2,4,3,5,3,2,4,1,1,4
p,f,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,d,3,1,4,2,5,3,1,3,1,2,2,5,4,3,3,4,2,4,2,3,2,1,1,1,5,3,3,5,2,5,3,3,2,4,5,4,4,1,1,2,5,3,5,1,5,2,5,1,4,1,2,1,4,3,5,1,3,4,5,2,4,4,4,2,2,4,5,3,1,3,4,1,3,5,2,2,1,4,4,2
